time,source,destination,protocol,length,caplen,hlen,version,output 
1473941964159,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964163,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964179,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964191,"63621","1900",Udp,175,175,8,0,0
1473941964257,"41327","1900",Udp,367,367,8,0,0
1473941964271,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964309,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964344,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964350,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964352,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964356,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964358,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964375,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964429,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964431,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964484,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964516,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964517,"137","137",Udp,92,92,8,0,0
1473941964518,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964519,"53891","5355",Udp,84,84,8,0,0
1473941964519,"55626","5355",Udp,64,64,8,0,0
1473941964521,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964534,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941964534,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964548,"63872","5355",Udp,95,95,8,0,0
1473941964548,"63872","5355",Udp,75,75,8,0,0
1473941964587,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964619,"53891","5355",Udp,84,84,8,0,0
1473941964620,"55626","5355",Udp,64,64,8,0,0
1473941964626,"192.168.0.142","224.0.0.22",IP,60,60,6,4,0
1473941964627,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964633,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964692,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941964701,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964746,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964780,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964804,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964820,"137","137",Udp,92,92,8,0,0
1473941964834,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964873,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941964874,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941964874,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941964894,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964941,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964943,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964970,"192.168.0.142","224.0.0.22",IP,60,60,6,4,0
1473941964970,"192.168.0.142","224.0.0.22",IP,60,60,6,4,0
1473941964972,"53141","5355",Udp,95,95,8,0,0
1473941964972,"53141","5355",Udp,75,75,8,0,0
1473941964991,"58093","1900",Udp,216,216,8,0,0
1473941965035,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941965037,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965095,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941965126,"192.168.0.142","224.0.0.22",IP,60,60,6,4,0
1473941965158,"137","137",Udp,92,92,8,0,0
1473941965158,"57699","5355",Udp,75,75,8,0,0
1473941965158,"52136","5355",Udp,75,75,8,0,0
1473941965179,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965264,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965267,"51202","5355",Udp,95,95,8,0,0
1473941965344,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965368,"51202","5355",Udp,95,95,8,0,0
1473941965376,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965391,"53141","5355",Udp,95,95,8,0,0
1473941965392,"53141","5355",Udp,75,75,8,0,0
1473941965416,"51543","1900",Udp,175,175,8,0,0
1473941965420,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965449,"68","67",Udp,342,342,8,0,0
1473941965449,"67","68",Udp,342,342,8,0,0
1473941965452,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965460,"52590","5355",Udp,84,84,8,0,0
1473941965460,"51585","5355",Udp,64,64,8,0,0
1473941965484,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965501,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965514,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965533,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941965534,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965559,"52590","5355",Udp,84,84,8,0,0
1473941965559,"51585","5355",Udp,64,64,8,0,0
1473941965570,"137","137",Udp,92,92,8,0,0
1473941965570,"137","137",Udp,92,92,8,0,0
1473941965577,"57699","5355",Udp,75,75,8,0,0
1473941965577,"52136","5355",Udp,75,75,8,0,0
1473941965632,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965651,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965699,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965743,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965747,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965760,"137","137",Udp,92,92,8,0,0
1473941965774,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965804,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965824,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965878,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941965878,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941965879,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941965922,"137","137",Udp,92,92,8,0,0
1473941965934,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965939,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965953,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941965992,"58093","1900",Udp,216,216,8,0,0
